id,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
16398,2021-01-07,NE,173591,,,1122,0.0,1811,,,108,0.0,01/08/2021 03:56:01 PM,Not agree,Not agree
16399,2020-10-14,NH,9349,,,70,27.0,458,,,2,1.0,10/15/2020 01:30:46 PM,Not agree,Not agree
16400,2020-07-30,ND,6469,6469.0,0.0,168,0.0,103,,,0,0.0,07/31/2020 02:35:06 PM,Agree,Not agree
16401,2020-08-21,CA,650336,,,5585,0.0,11821,,,135,0.0,08/22/2020 02:21:09 PM,Not agree,Not agree
16402,2020-07-31,CT,49810,47854.0,1956.0,140,3.0,4432,3551.0,881.0,1,0.0,08/01/2020 02:38:12 PM,Agree,Agree
16403,2020-06-28,KY,15232,14732.0,500.0,65,2.0,558,555.0,3.0,4,0.0,06/29/2020 02:37:31 PM,Agree,Agree
16404,2020-10-04,WA,89874,,,455,0.0,2142,,,0,0.0,10/05/2020 01:49:47 PM,,
16405,2020-01-29,MS,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
16406,2021-03-26,MI,718455,647899.0,70556.0,6062,1032.0,17023,16004.0,1019.0,20,0.0,03/27/2021 02:01:18 PM,Agree,Agree
16407,2020-12-26,MI,516326,477269.0,39057.0,7877,536.0,12690,12029.0,661.0,275,21.0,12/27/2020 02:44:47 PM,Agree,Agree
16408,2020-11-04,IL,443815,437556.0,6259.0,7538,0.0,10216,9933.0,283.0,55,0.0,11/05/2020 02:39:23 PM,Agree,Agree
16409,2020-08-12,ME,4089,3679.0,410.0,20,2.0,126,125.0,1.0,0,0.0,08/13/2020 02:12:28 PM,Agree,Agree
16410,2021-03-05,WY,54764,46397.0,8367.0,79,10.0,682,682.0,0.0,0,0.0,03/06/2021 03:08:48 PM,Agree,Agree
16411,2020-02-06,SC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
16412,2021-03-23,MT,103452,96408.0,7044.0,354,60.0,1419,1419.0,0.0,5,0.0,03/24/2021 02:16:52 PM,Agree,Agree
16413,2020-10-19,NH,9746,,,52,13.0,468,,,1,0.0,10/20/2020 02:59:27 PM,Not agree,Not agree
16414,2020-08-24,AL,116710,110769.0,5941.0,718,43.0,2024,1950.0,74.0,7,1.0,08/25/2020 02:02:54 PM,Agree,Agree
16415,2020-06-12,WY,1027,811.0,216.0,18,0.0,18,18.0,0.0,0,0.0,06/13/2020 05:46:26 PM,Agree,Agree
16416,2020-10-12,MN,114874,,,1435,0.0,2204,2151.0,53.0,7,0.0,10/13/2020 01:29:38 PM,,Agree
16417,2020-03-27,NE,89,,,16,,2,,,2,,03/26/2020 04:22:39 PM,Not agree,Not agree
16418,2020-03-20,OR,114,,,26,,3,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
16419,2020-12-13,KY,223104,182563.0,40541.0,2444,514.0,2207,2081.0,126.0,15,1.0,12/14/2020 02:36:45 PM,Agree,Agree
16420,2020-04-14,NV,3088,,,117,,130,,,10,,04/13/2020 04:22:39 PM,,
16421,2020-06-04,MO,15031,,,236,0.0,789,,,3,0.0,06/06/2020 12:00:00 AM,Not agree,Not agree
16422,2020-03-09,DC,2,,,1,,0,,,0,,03/26/2020 04:22:39 PM,,
16423,2021-04-23,MD,442351,,,1196,0.0,8648,8462.0,186.0,15,0.0,04/24/2021 02:22:34 PM,,Agree
16424,2020-05-15,LA,33903,,,348,0.0,2448,2382.0,66.0,31,0.0,05/16/2020 03:46:44 PM,Not agree,Agree
16425,2020-05-25,GU,167,,,1,1.0,5,,,0,0.0,05/26/2020 02:23:02 PM,Not agree,Not agree
16426,2020-11-23,SC,209612,195433.0,14179.0,1281,171.0,4389,,,14,1.0,04/21/2021 01:23:00 PM,Agree,Not agree
16427,2020-03-13,WI,9,,,1,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
16428,2021-04-16,MO,576952,,,373,179.0,8635,,,1,0.0,04/18/2021 12:00:00 AM,Not agree,Not agree
16429,2020-12-06,MN,350862,,,5581,231.0,4043,3892.0,151.0,64,1.0,12/07/2020 02:38:33 PM,,Agree
16430,2020-12-04,SC,231916,214365.0,17551.0,3100,326.0,4634,,,21,2.0,04/21/2021 01:23:00 PM,Agree,Not agree
16431,2020-11-02,KY,109670,92228.0,17442.0,1028,143.0,1492,1470.0,22.0,3,0.0,11/03/2020 02:57:05 PM,Agree,Agree
16432,2020-09-16,OR,29850,28411.0,1439.0,188,0.0,521,507.0,14.0,2,0.0,09/17/2020 01:45:45 PM,Agree,Agree
16433,2021-04-17,VI,3028,,,0,0.0,26,,,0,0.0,04/18/2021 01:41:35 PM,,
16434,2021-04-17,NH,91279,,,369,133.0,1266,,,0,0.0,04/18/2021 01:41:35 PM,Not agree,Not agree
16435,2021-04-14,SC,566053,473564.0,92489.0,1119,514.0,9346,,,8,0.0,04/21/2021 01:23:00 PM,Agree,Not agree
16436,2020-08-02,MS,61125,60147.0,978.0,1244,99.0,1711,1664.0,47.0,18,2.0,08/03/2020 02:31:01 PM,Agree,Agree
16437,2020-04-02,VI,37,,,7,,0,,,0,,04/01/2020 04:22:39 PM,,
16438,2020-04-11,CT,11510,,,1379,,494,,,50,,04/10/2020 04:22:39 PM,Agree,Agree
16439,2020-04-13,MO,5123,,,240,0.0,114,,,4,,04/15/2020 12:00:00 AM,Not agree,Not agree
16440,2021-04-20,OR,176157,176157.0,0.0,565,0.0,2460,2460.0,0.0,0,0.0,04/21/2021 02:12:05 PM,Agree,Agree
16441,2020-02-26,SC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
16442,2020-12-01,ID,103305,87419.0,15886.0,1607,459.0,960,881.0,79.0,31,4.0,12/02/2020 03:48:48 PM,Agree,Agree
16443,2020-11-30,ME,11976,10675.0,1301.0,468,108.0,214,213.0,1.0,23,0.0,12/01/2020 03:26:07 PM,Agree,Agree
16444,2020-07-17,CT,47893,45910.0,1983.0,143,4.0,4396,3519.0,877.0,7,3.0,07/18/2020 04:14:26 PM,Agree,Agree
16445,2020-03-27,NJ,8825,,,1949,,108,,,27,,03/26/2020 04:22:39 PM,Agree,Agree
